time,direction,entry,sl,lot,pnl_bruto,costo,pnl_neto,tps_hit,sl_hit,result,capital
2025-12-03 07:21:00+00:00,LONG,58.65,58.59901,7.17,-365.65,50.19,-415.84,0,True,LOSS,17860.09
2025-12-03 11:09:00+00:00,LONG,57.92514,57.87128,6.63,1025.82,46.41,979.41,3,True,WIN,18839.5
2025-12-04 01:00:00+00:00,LONG,58.46761,58.44622,17.62,1082.76,123.34,959.42,3,True,WIN,19798.92
2025-12-04 03:03:00+00:00,LONG,58.40705,58.37209,11.33,1137.6,79.31,1058.29,3,True,WIN,20857.21
2025-12-04 11:00:00+00:00,LONG,56.75805,56.62111,3.05,1199.85,21.35,1178.5,3,True,WIN,22035.71
2025-12-05 03:00:00+00:00,LONG,57.00935,56.9807,15.38,-440.64,107.66,-548.3,0,True,LOSS,21487.41
2025-12-05 08:12:00+00:00,SHORT,58.43168,58.61236,2.38,990.13,16.66,973.47,3,True,WIN,22460.89
2025-12-08 01:00:00+00:00,SHORT,58.49384,58.59468,4.45,830.73,31.15,799.58,3,True,WIN,23260.46
2025-12-08 03:03:00+00:00,LONG,58.04944,57.95089,4.72,1336.29,33.04,1303.25,3,True,WIN,24563.71
2025-12-08 10:00:00+00:00,LONG,58.1744,58.12779,10.54,1411.04,73.78,1337.26,3,True,WIN,25900.97
2025-12-09 03:00:00+00:00,LONG,57.99716,57.96832,17.96,1487.96,125.72,1362.24,3,True,WIN,27263.21
2025-12-11 06:27:00+00:00,LONG,61.79597,61.71594,6.81,-545.0,47.67,-592.67,0,True,LOSS,26670.54
2025-12-11 07:30:00+00:00,LONG,61.65087,61.58574,8.19,-533.42,57.33,-590.75,0,True,LOSS,26079.79
2025-12-15 01:00:00+00:00,LONG,61.78416,61.73832,11.38,1498.52,79.66,1418.86,3,True,WIN,27498.65
2025-12-15 05:03:00+00:00,SHORT,62.80372,62.91143,5.11,1054.87,35.77,1019.1,3,True,WIN,28517.75
2025-12-15 07:36:00+00:00,SHORT,62.89452,63.01905,4.58,296.25,32.06,264.19,1,True,BREAKEVEN,28781.93
2025-12-16 03:06:00+00:00,LONG,63.36161,63.25523,5.41,1653.34,37.87,1615.47,3,True,WIN,30397.4
2025-12-16 10:03:00+00:00,SHORT,63.22491,63.33281,5.63,1165.3,39.41,1125.89,3,True,WIN,31523.29
2025-12-17 06:45:00+00:00,SHORT,66.04631,66.16262,5.42,320.9,37.94,282.96,1,True,BREAKEVEN,31806.25
2025-12-18 03:03:00+00:00,LONG,66.18992,66.14485,14.11,424.01,98.77,325.24,1,True,BREAKEVEN,32131.5
2025-12-23 02:27:00+00:00,LONG,69.05603,69.01305,14.95,1845.58,104.65,1740.93,3,True,WIN,33872.43
2025-12-23 07:30:00+00:00,LONG,69.30032,69.22564,9.07,1128.93,63.49,1065.44,2,True,WIN,34937.86
2025-12-24 03:00:00+00:00,SHORT,72.04864,72.16227,6.15,1374.16,43.05,1331.11,3,True,WIN,36268.97
2026-01-02 12:27:00+00:00,LONG,74.3982,74.36841,24.35,-725.53,170.45,-895.98,0,True,LOSS,35372.99
2026-01-05 07:30:00+00:00,LONG,75.3184,75.27179,15.18,471.63,106.26,365.37,1,True,BREAKEVEN,35738.36
2026-01-06 02:30:00+00:00,SHORT,76.46715,76.59531,5.58,1479.48,39.06,1440.42,3,True,WIN,37178.78
2026-01-07 07:42:00+00:00,LONG,78.44004,78.17608,2.82,2138.29,19.74,2118.55,3,True,WIN,39297.33
2026-01-09 01:00:00+00:00,SHORT,77.11441,77.23282,6.64,1574.72,46.48,1528.24,3,True,WIN,40825.57
2026-01-09 07:24:00+00:00,LONG,76.33508,76.24417,8.98,2345.26,62.86,2282.4,3,False,WIN,43107.98
2026-01-09 10:06:00+00:00,SHORT,77.73225,77.8965,5.25,1148.46,36.75,1111.71,2,True,WIN,44219.68
2026-01-09 12:30:00+00:00,LONG,77.89425,77.8295,13.66,2540.73,95.62,2445.11,3,True,WIN,46664.79
2026-01-12 01:00:00+00:00,SHORT,80.04213,80.16226,7.77,479.83,54.39,425.44,1,True,BREAKEVEN,47090.23
2026-01-13 01:00:00+00:00,SHORT,85.35502,85.52003,5.71,2118.59,39.97,2078.62,3,True,WIN,49168.86
2026-01-13 11:42:00+00:00,LONG,85.46845,85.40791,16.24,655.52,113.68,541.84,1,True,BREAKEVEN,49710.7
2026-01-14 01:00:00+00:00,SHORT,87.14614,87.28728,7.04,-993.63,49.28,-1042.91,0,True,LOSS,48667.79
