time,direction,entry,sl,lot,pnl_bruto,costo,pnl_neto,tps_hit,sl_hit,result,capital
2025-12-20 17:18:00+00:00,LONG,87982.598,87940.196,10.0,1218.04,100.0,1118.04,3,False,WIN,23994.31
2025-12-20 19:09:00+00:00,LONG,88061.698,88038.396,10.0,669.37,100.0,569.37,3,True,WIN,24563.68
2025-12-21 17:54:00+00:00,SHORT,88172.794,88248.588,6.48,740.82,64.8,676.02,2,True,WIN,25239.69
2025-12-22 14:33:00+00:00,SHORT,90546.8125,90690.125,3.52,1370.01,35.2,1334.81,3,False,WIN,26574.51
2025-12-24 14:15:00+00:00,SHORT,87350.9245,87404.849,9.86,767.84,98.6,669.24,2,True,WIN,27243.75
2025-12-25 18:51:00+00:00,LONG,87953.983,87860.966,5.86,908.47,58.6,849.87,2,True,WIN,28093.61
2025-12-26 16:33:00+00:00,LONG,88689.183,88634.366,10.0,365.45,100.0,265.45,1,True,BREAKEVEN,28359.06
2025-12-26 20:45:00+00:00,LONG,87085.4635,87037.427,10.0,1379.9,100.0,1279.9,3,False,WIN,29638.96
2025-12-27 15:33:00+00:00,LONG,87324.732,87296.464,10.0,812.03,100.0,712.03,3,False,WIN,30350.98
2025-12-27 21:06:00+00:00,SHORT,87528.4145,87561.329,10.0,720.79,100.0,620.79,3,True,WIN,30971.77
2025-12-28 15:06:00+00:00,SHORT,87856.937,87889.374,10.0,707.07,100.0,607.07,3,True,WIN,31578.85
2025-12-28 17:54:00+00:00,LONG,87771.777,87742.554,10.0,194.82,100.0,94.82,1,True,BREAKEVEN,31673.67
2025-12-28 20:03:00+00:00,LONG,87572.8905,87524.281,10.0,-486.09,100.0,-586.09,0,True,LOSS,31087.57
2025-12-29 14:00:00+00:00,LONG,87411.4185,87364.337,10.0,-470.82,100.0,-570.82,0,True,LOSS,30516.76
2025-12-29 19:27:00+00:00,LONG,87274.577,87207.154,9.05,1752.8,90.5,1662.3,3,True,WIN,32179.05
2025-12-30 16:03:00+00:00,LONG,87763.559,87715.618,10.0,1377.15,100.0,1277.15,3,False,WIN,33456.21
2025-12-30 20:51:00+00:00,LONG,88099.2055,88043.911,10.0,921.58,100.0,821.58,2,True,WIN,34277.78
2026-01-01 15:00:00+00:00,LONG,87763.215,87737.43,10.0,740.7,100.0,640.7,3,True,WIN,34918.48
2026-01-01 16:00:00+00:00,LONG,87717.867,87686.734,10.0,894.33,100.0,794.33,3,True,WIN,35712.81
2026-01-01 18:21:00+00:00,LONG,87736.6825,87690.365,10.0,1330.52,100.0,1230.52,3,False,WIN,36943.33
2026-01-02 15:18:00+00:00,SHORT,89570.7725,89630.045,10.0,1477.95,100.0,1377.95,3,True,WIN,38321.28
2026-01-03 14:09:00+00:00,LONG,89604.271,89581.542,10.0,652.91,100.0,552.91,3,False,WIN,38874.19
2026-01-03 20:24:00+00:00,SHORT,90126.2455,90166.991,10.0,945.74,100.0,845.74,3,True,WIN,39719.93
2026-01-04 17:45:00+00:00,LONG,91058.6825,91012.365,10.0,1330.52,100.0,1230.52,3,True,WIN,40950.45
2026-01-05 16:36:00+00:00,LONG,92343.9205,92262.841,10.0,2329.09,100.0,2229.09,3,False,WIN,43179.54
2026-01-06 20:00:00+00:00,LONG,91247.194,91005.388,3.57,2479.76,35.7,2444.06,3,False,WIN,45623.6
2026-01-07 14:39:00+00:00,LONG,91877.2615,91825.023,10.0,348.26,100.0,248.26,1,True,BREAKEVEN,45871.86
2026-01-07 16:30:00+00:00,LONG,91286.413,91141.826,6.35,2637.41,63.5,2573.91,3,True,WIN,48445.77
2026-01-09 15:30:00+00:00,SHORT,90747.4275,90845.855,9.84,2561.07,98.4,2462.67,3,True,WIN,50908.45
2026-01-09 16:33:00+00:00,LONG,90050.8325,89937.665,9.0,2925.76,90.0,2835.76,3,True,WIN,53744.21
2026-01-09 20:30:00+00:00,LONG,90303.337,90113.674,5.67,1792.32,56.7,1735.62,2,True,WIN,55479.83
2026-01-10 14:33:00+00:00,LONG,90550.552,90526.104,10.0,407.47,100.0,307.47,2,True,WIN,55787.29
2026-01-10 15:54:00+00:00,LONG,90525.462,90502.924,10.0,-225.38,100.0,-325.38,0,True,LOSS,55461.91
2026-01-10 19:51:00+00:00,LONG,90463.968,90434.936,10.0,-290.32,100.0,-390.32,0,True,LOSS,55071.59
2026-01-11 16:30:00+00:00,SHORT,90911.5205,90957.041,10.0,263.47,100.0,163.47,1,True,BREAKEVEN,55235.06
2026-01-11 21:48:00+00:00,LONG,90542.6995,90493.899,10.0,-488.0,100.0,-588.0,0,True,LOSS,54647.06
2026-01-12 16:18:00+00:00,LONG,90256.358,90187.216,10.0,-691.42,100.0,-791.42,0,True,LOSS,53855.64
2026-01-13 16:00:00+00:00,LONG,91765.0185,91641.537,8.72,3093.1,87.2,3005.9,3,False,WIN,56861.54
2026-01-15 19:42:00+00:00,SHORT,97012.52117,97128.78234,9.78,3046.48,97.8,2948.68,3,False,WIN,59810.21
2026-01-16 16:30:00+00:00,SHORT,95761.01198,95857.77396,10.0,2554.87,100.0,2454.87,3,False,WIN,62265.09
2026-01-16 19:24:00+00:00,LONG,94547.62041,94479.53082,10.0,1955.94,100.0,1855.94,3,False,WIN,64121.03
2026-01-17 14:15:00+00:00,SHORT,95356.72205,95414.0941,10.0,1423.36,100.0,1323.36,3,True,WIN,65444.39
2026-01-18 14:51:00+00:00,LONG,95034.25397,95016.42794,10.0,118.84,100.0,18.84,1,True,BREAKEVEN,65463.23
2026-01-19 15:21:00+00:00,LONG,92772.98089,92706.28178,10.0,1916.0,100.0,1816.0,3,True,WIN,67279.22
2026-01-19 18:03:00+00:00,SHORT,93086.98731,93142.80462,10.0,1378.7,100.0,1278.7,3,True,WIN,68557.92
2026-01-20 15:33:00+00:00,LONG,90703.27094,90620.44188,10.0,2379.35,100.0,2279.35,3,True,WIN,70837.27
