time,direction,entry,sl,lot,pnl_bruto,costo,pnl_neto,tps_hit,sl_hit,result,capital
2026-02-05 10:54:00+00:00,LONG,4901.46332,4894.68664,3.87,1748.38,27.09,1721.29,1,True,BREAKEVEN,132852.7
2026-02-09 03:06:00+00:00,LONG,5005.98172,4999.66344,4.21,7641.11,29.47,7611.64,3,True,WIN,140464.34
2026-02-10 01:12:00+00:00,LONG,4997.06917,4984.43834,2.22,8054.9,15.54,8039.36,3,False,WIN,148503.69
2026-02-10 07:27:00+00:00,LONG,5015.53783,5012.31566,9.22,8534.04,64.54,8469.5,3,False,WIN,156973.19
2026-02-10 12:15:00+00:00,LONG,5038.32702,5035.50404,11.12,9017.53,77.84,8939.69,3,True,WIN,165912.89
2026-02-11 01:00:00+00:00,SHORT,5035.22076,5037.79152,12.91,2122.2,90.37,2031.83,1,True,BREAKEVEN,167944.71
2026-02-12 02:12:00+00:00,LONG,5050.94873,5047.70746,10.36,9646.06,72.52,9573.54,3,True,WIN,177518.26
2026-02-13 01:00:00+00:00,SHORT,4929.17377,4932.14754,11.94,9730.15,83.58,9646.57,3,True,WIN,187164.83
2026-02-13 07:18:00+00:00,LONG,4969.02901,4964.84802,8.95,10749.23,62.65,10686.58,3,True,WIN,197851.41
2026-02-13 12:48:00+00:00,LONG,4960.23424,4956.91848,11.93,2637.13,83.51,2553.62,1,True,BREAKEVEN,200405.04
2026-02-16 01:00:00+00:00,SHORT,5049.58338,5053.45676,10.35,11109.1,72.45,11036.65,3,False,WIN,211441.68
2026-02-16 02:03:00+00:00,LONG,5008.00259,5004.08518,10.8,12153.41,75.6,12077.81,3,True,WIN,223519.49
2026-02-16 07:03:00+00:00,LONG,4970.18581,4966.92162,13.7,12846.1,95.9,12750.2,3,False,WIN,236269.69
2026-02-16 12:21:00+00:00,LONG,5005.0736,5003.0872,23.79,3150.43,166.53,2983.9,1,True,BREAKEVEN,239253.59
2026-02-17 01:12:00+00:00,LONG,4987.75921,4985.90842,25.85,-4784.29,180.95,-4965.24,0,True,LOSS,234288.34
2026-02-17 05:15:00+00:00,LONG,4957.27575,4955.0315,20.88,3124.0,146.16,2977.84,1,True,BREAKEVEN,237266.18
2026-02-17 11:45:00+00:00,LONG,4914.46935,4912.1487,20.45,13632.58,143.15,13489.43,3,True,WIN,250755.61
2026-02-18 09:12:00+00:00,SHORT,4941.68007,4944.52014,17.66,13713.24,123.62,13589.62,3,True,WIN,264345.23
2026-02-18 12:36:00+00:00,LONG,4912.67562,4910.73124,27.19,-5286.77,190.33,-5477.1,0,True,LOSS,258868.13
2026-02-23 05:12:00+00:00,LONG,5154.26864,5150.64728,14.3,14875.89,100.1,14775.79,3,True,WIN,273643.92
2026-02-23 08:39:00+00:00,LONG,5150.36595,5148.5419,30.0,3648.1,210.0,3438.1,1,True,BREAKEVEN,277082.02
2026-02-24 01:00:00+00:00,LONG,5224.68619,5222.60238,26.59,15916.65,186.13,15730.52,3,True,WIN,292812.54
2026-02-25 04:51:00+00:00,LONG,5171.18561,5167.50122,15.89,16817.63,111.23,16706.4,3,True,WIN,309518.94
2026-02-25 09:18:00+00:00,LONG,5186.06863,5184.52726,40.16,-6190.14,281.12,-6471.26,0,True,LOSS,303047.68
2026-02-25 11:03:00+00:00,LONG,5179.21343,5176.29686,20.78,17409.77,145.46,17264.31,3,True,WIN,320311.99
